Price,Close,High,Low,Open,Volume
Ticker,GOOG,GOOG,GOOG,GOOG,GOOG
Date,,,,,
2025-05-12,159.03021240234375,159.88725011484576,157.3460324040138,158.5518703693391,31884900
2025-05-13,160.335693359375,161.50166059387493,157.03709956492992,159.3690340339298,24944300
2025-05-14,166.23529052734375,167.7600180335207,160.37554390362482,160.7542395634815,31769200
2025-05-15,164.8301544189453,166.93288561158357,163.2755313961832,166.56416520922104,22717600
2025-05-16,166.85316467285156,170.0620723801173,166.37482262141023,168.34799688904792,36271400
2025-05-19,167.29164123535156,167.3713674402021,164.8450974961549,165.14406696278974,21374700
2025-05-20,164.75047302246094,169.09543804313265,163.6941119933255,167.18205434774214,33563300
2025-05-21,169.47410583496094,173.9287069806468,164.32191937471765,164.38171022936268,45567600
2025-05-22,171.3874969482422,177.51631833163697,171.28785058807728,172.7527874178601,45024100
2025-05-23,169.0057373046875,170.61517889922294,168.6768723717691,169.69336260022413,24963600
2025-05-27,173.38059997558594,173.68952953082126,170.6201541260049,170.70984040857914,24341300
2025-05-28,172.78268432617188,175.87199522970104,172.41893633259377,173.38060811094195,25999200
2025-05-29,172.3641357421875,174.79571683393422,171.18819309697466,174.39710097134503,21174700
2025-05-30,172.25450134277344,172.84246501872812,167.9443897158325,171.8160148026651,36258300
2025-06-02,169.78302001953125,170.47263721270443,168.06894471250675,168.42770501412159,24742900
2025-06-03,167.13223266601562,169.21502880358548,166.1057671065911,168.28325238447377,25386700
2025-06-04,168.80641174316406,168.99575958230332,167.21690566982434,167.70023534112542,18508700
2025-06-05,169.22496032714844,171.76617799084298,168.7665536558359,171.02872199871655,25375400
2025-06-06,174.31735229492188,175.22422075260604,171.70638375710703,171.70638375710703,22258100
2025-06-09,177.23080444335938,177.5151523721387,175.26523054535744,175.4747500718264,18817600
2025-06-10,179.60543823242188,182.03497857747755,176.07839439763768,177.36049490508012,32908000
2025-06-11,178.38819885253906,181.3415535485882,177.59998091691168,180.82271788080294,18994400
2025-06-12,176.57228088378906,177.72967756706512,175.71421302887705,177.08112923486027,17345900
2025-06-13,175.48475646972656,177.9422189062432,173.17995008036138,173.18992212692407,20873200
2025-06-16,177.5401153564453,177.8444226178713,175.4248845342781,175.5096849868568,18132500
2025-06-17,176.83169555664062,178.31335883126377,175.5446013539514,176.6022167130365,17656100
2025-06-18,173.58900451660156,177.42437514186435,172.45156708667707,176.88159135832956,32531800
2025-06-20,167.35304260253906,174.9708935959476,165.89633230381628,174.47201728620755,55402600
2025-06-23,165.63693237304688,168.10138294043787,162.9629622490351,166.94400129432034,36975600
2025-06-24,167.363037109375,168.86963814911823,166.53490057245736,167.30815279619202,27310300
2025-06-25,171.1046142578125,172.97040691593398,168.18219577676192,168.27098504810928,23627400
2025-06-26,174.03799438476562,174.25750119449495,170.4760251986993,172.9953446508002,25909100
2025-06-27,177.869384765625,178.43809590922442,172.32188198139906,174.23756541033688,74053100
2025-06-30,176.99134826660156,181.17193445464187,175.10559630004255,180.3787228966327,43964600
2025-07-01,176.51243591308594,176.82173681784994,174.26749231134937,176.40766091669954,25778500
2025-07-02,179.35601806640625,179.53062783204882,175.69426752119247,176.14824682206404,19325900
2025-07-03,180.1442413330078,180.36374813071492,177.78954450492,179.41588617215984,13287400
2025-07-07,177.1609649658203,179.9347162223865,176.2430343191759,179.73017509426768,20991400
2025-07-08,174.766357421875,178.3881891803029,173.52913865793022,178.37821713464507,24108600
2025-07-09,177.26075744628906,179.87486478280312,173.48925326441045,175.71423763690527,31288000
2025-07-10,178.29840087890625,179.18640015516522,175.34506147169566,176.2729641563774,24693700
2025-07-11,180.90252685546875,182.19960831898157,177.1419999954269,177.5101740042785,23975700
2025-07-14,182.39915466308594,184.3148378732345,180.30487288076202,181.66082746538615,20990400
2025-07-15,182.6885223388672,184.9933286005737,181.98011123519012,183.52663093866997,23911600
2025-07-16,183.3570098876953,184.918495230525,182.66855811901667,183.9057768934897,21152600
2025-07-17,184.284912109375,184.77081716458488,181.09210666215927,182.70348267884268,21654400
2025-07-18,185.52212524414062,186.93893214253,184.31483787096195,186.20058972034252,21033400
2025-07-21,190.7204132080078,190.83016660863174,186.6296364723373,186.67952714980223,24665000
2025-07-22,191.6782684326172,192.92545928566776,188.07138700477574,191.9875693282541,26212900
2025-07-23,191.07960510253906,192.92545360045878,189.75259224705852,191.9277009474205,34068100
2025-07-24,192.76580810546875,198.52284513405064,191.51861729833644,197.66477724976374,45252100
2025-07-25,193.6438446044922,194.83615115662784,191.69822989683496,192.49641987213175,31101800
2025-07-28,192.9853057861328,194.38216855881177,191.42382053347023,193.97308633952386,25553500
2025-07-29,195.98854064941406,196.2180347146009,192.55628441099617,192.8655852885559,31891600
2025-07-30,196.9962921142578,198.03394820551867,195.12051219888494,195.8588546649248,21150500
2025-07-31,192.42657470703125,196.38765390471343,191.64832886600274,196.15817506043504,27852000
2025-08-01,189.52310180664062,191.1873523993308,188.2759110666331,189.35348569293916,21236700
2025-08-04,195.31008911132812,195.63934932604175,190.49094179060694,190.74537359845334,23386000
2025-08-05,194.8810577392578,198.25345139263305,194.23750300779153,195.1055429540734,19010200
2025-08-06,196.4774627685547,196.9364357161351,194.02997243608303,194.81121756180326,15383700
2025-08-07,196.83663940429688,197.92418612692944,194.7812714038729,197.2656809558061,14660600
2025-08-08,201.63583374023438,202.97281866623578,197.45524761050837,197.5350696511723,24379900
2025-08-11,201.1768798828125,201.7056875908846,199.3509906320267,201.10203625141725,16690200
2025-08-12,203.70118713378906,204.66900843391733,200.94738004290974,201.6408254507789,19854000
