Price,Close,High,Low,Open,Volume
Ticker,ADANIPOWER.NS,ADANIPOWER.NS,ADANIPOWER.NS,ADANIPOWER.NS,ADANIPOWER.NS
Date,,,,,
2025-05-12,109.30999755859375,110.56999969482422,108.30000305175781,108.98999786376953,32049350
2025-05-13,107.75,109.45999908447266,107.19999694824219,109.30999755859375,27788610
2025-05-14,107.95999908447266,108.70999908447266,107.16000366210938,108.54000091552734,17970600
2025-05-15,108.62000274658203,109.26000213623047,107.45999908447266,108.4800033569336,17751625
2025-05-16,113.0999984741211,113.95999908447266,108.62000274658203,109.0,49525610
2025-05-19,112.44999694824219,114.5999984741211,111.83999633789062,113.30000305175781,18979610
2025-05-20,111.23999786376953,113.5,110.56999969482422,112.79000091552734,17156030
2025-05-21,110.25,112.19999694824219,109.37000274658203,111.19999694824219,13376865
2025-05-22,110.73999786376953,112.1500015258789,109.83000183105469,110.30000305175781,14943250
2025-05-23,110.63999938964844,112.08000183105469,110.19999694824219,111.19999694824219,12026850
2025-05-26,111.72000122070312,113.9800033569336,111.2300033569336,111.37999725341797,19173970
2025-05-27,110.51000213623047,112.05999755859375,109.95999908447266,112.0,13868320
2025-05-28,110.13999938964844,113.41999816894531,106.16000366210938,111.0,24560695
2025-05-29,110.38999938964844,111.7699966430664,110.19999694824219,110.7699966430664,12881605
2025-05-30,108.76000213623047,111.08999633789062,108.18000030517578,110.61000061035156,15370475
2025-06-02,111.0199966430664,111.9800033569336,109.0,109.4000015258789,17794610
2025-06-03,108.91999816894531,110.63999938964844,108.5999984741211,110.51000213623047,12927105
2025-06-04,109.02999877929688,109.9800033569336,107.72000122070312,109.4800033569336,13008395
2025-06-05,109.52999877929688,110.73999786376953,109.30999755859375,109.54000091552734,9616705
2025-06-06,111.05000305175781,112.79000091552734,109.81999969482422,110.1500015258789,20056905
2025-06-09,112.62000274658203,114.80000305175781,111.26000213623047,111.94999694824219,23617970
2025-06-10,119.20999908447266,122.12000274658203,112.48999786376953,113.54000091552734,150425895
2025-06-11,117.41000366210938,121.0,116.58999633789062,120.55000305175781,43819250
2025-06-12,113.43000030517578,117.73999786376953,113.0999984741211,117.41000366210938,25698510
2025-06-13,114.18000030517578,115.68000030517578,109.87000274658203,111.08999633789062,29630645
2025-06-16,112.58999633789062,114.4000015258789,111.01000213623047,113.58999633789062,13945785
2025-06-17,111.63999938964844,114.22000122070312,111.4000015258789,112.91000366210938,9820175
2025-06-18,110.16000366210938,112.06999969482422,110.0,111.5999984741211,10063160
2025-06-19,107.30000305175781,111.75,106.5,110.19999694824219,13568940
2025-06-20,106.05000305175781,109.11000061035156,105.41999816894531,107.5999984741211,47738495
2025-06-23,107.5999984741211,108.29000091552734,105.6500015258789,106.0,15234695
2025-06-24,109.37000274658203,110.4000015258789,107.73999786376953,108.9800033569336,20572930
2025-06-25,111.4000015258789,111.80000305175781,109.75,109.83999633789062,17171020
2025-06-26,115.62999725341797,116.08000183105469,111.5999984741211,111.80000305175781,30618905
2025-06-27,116.87000274658203,121.36000061035156,114.83999633789062,116.0,78220455
2025-06-30,117.1500015258789,119.45999908447266,116.47000122070312,117.9000015258789,22731315
2025-07-01,118.27999877929688,121.4000015258789,117.30000305175781,117.68000030517578,40265290
2025-07-02,118.27999877929688,120.37999725341797,117.55000305175781,119.19999694824219,20389805
2025-07-03,117.58000183105469,119.23999786376953,117.0,119.0,18364010
2025-07-04,116.95999908447266,118.16000366210938,116.22000122070312,117.58000183105469,10892800
2025-07-07,119.43000030517578,120.0,115.75,116.95999908447266,21546290
2025-07-08,120.0,123.0,118.4000015258789,120.69999694824219,49616840
2025-07-09,120.43000030517578,122.0,119.30000305175781,120.51000213623047,27100765
2025-07-10,121.16000366210938,124.0,120.41999816894531,120.87999725341797,74692330
2025-07-11,120.79000091552734,122.4000015258789,120.06999969482422,121.4000015258789,20236400
2025-07-14,121.91000366210938,123.86000061035156,120.44999694824219,120.81999969482422,37017980
2025-07-15,121.62000274658203,123.19999694824219,121.13999938964844,122.58000183105469,19422015
2025-07-16,120.97000122070312,122.86000061035156,120.5999984741211,121.9800033569336,18549555
2025-07-17,119.7300033569336,121.7300033569336,119.5,121.48999786376953,17579230
2025-07-18,118.93000030517578,119.87999725341797,117.69000244140625,119.72000122070312,15522320
2025-07-21,119.31999969482422,120.69999694824219,118.22000122070312,119.19999694824219,10219500
2025-07-22,118.11000061035156,120.29000091552734,117.4000015258789,119.81999969482422,10394955
2025-07-23,117.79000091552734,119.23999786376953,117.43000030517578,118.55999755859375,9600185
2025-07-24,117.1500015258789,118.58000183105469,116.66000366210938,118.16000366210938,8155545
2025-07-25,114.0,116.87999725341797,113.5999984741211,116.77999877929688,11502865
2025-07-28,114.12999725341797,115.38999938964844,112.19999694824219,113.95999908447266,13411220
2025-07-29,118.51000213623047,118.94000244140625,113.26000213623047,114.0,25852680
2025-07-30,117.94000244140625,120.45999908447266,117.41999816894531,118.80000305175781,14559345
2025-07-31,117.62000274658203,118.37999725341797,115.45999908447266,116.0,12731180
2025-08-01,113.4000015258789,118.58999633789062,112.80000305175781,117.5999984741211,31074800
2025-08-04,116.80000305175781,117.54000091552734,112.83000183105469,113.4000015258789,13675050
2025-08-05,115.9000015258789,116.81999969482422,115.16000366210938,116.80000305175781,7599355
2025-08-06,113.48999786376953,116.38999938964844,113.12000274658203,115.98999786376953,7604560
2025-08-07,115.79000091552734,116.4000015258789,110.44999694824219,112.22000122070312,35743505
2025-08-08,115.37999725341797,116.66000366210938,114.80000305175781,116.4000015258789,12842060
2025-08-11,118.77999877929688,119.80000305175781,114.23999786376953,115.37999725341797,15152450
2025-08-12,118.30000305175781,119.68000030517578,117.83999633789062,119.05000305175781,11412935
2025-08-13,117.12000274658203,118.95999908447266,116.69999694824219,118.95999908447266,9023465
2025-08-14,116.80999755859375,117.88999938964844,116.22000122070312,117.37999725341797,4808835
2025-08-18,119.75,120.30000305175781,117.30000305175781,118.0199966430664,16063980
2025-08-19,121.19999694824219,121.5999984741211,119.26000213623047,119.80000305175781,14088205
2025-08-20,119.98999786376953,121.47000122070312,119.0199966430664,120.79000091552734,7009015
2025-08-21,119.23999786376953,120.80000305175781,119.05000305175781,120.18000030517578,4971675
2025-08-22,118.86000061035156,120.58999633789062,118.4000015258789,119.4000015258789,6382785
2025-08-25,121.12999725341797,121.5999984741211,118.0199966430664,119.02999877929688,13437945
2025-08-26,118.41999816894531,121.0,118.0,120.9800033569336,11295845
2025-08-28,118.98999786376953,121.37999725341797,117.04000091552734,118.0,14019215
2025-08-29,120.12999725341797,120.63999938964844,116.69999694824219,119.68000030517578,18095490
2025-09-01,121.37000274658203,123.0,120.63999938964844,121.18000030517578,16641785
2025-09-02,121.66999816894531,122.33999633789062,120.30000305175781,122.33999633789062,10754495
2025-09-03,121.86000061035156,123.19999694824219,120.94000244140625,122.19999694824219,15352340
2025-09-04,121.73999786376953,123.12000274658203,121.30999755859375,122.5999984741211,9098085
2025-09-05,121.94000244140625,122.87999725341797,120.4000015258789,121.58999633789062,9972395
2025-09-08,126.7699966430664,129.9199981689453,122.80999755859375,123.4000015258789,84739285
2025-09-09,128.72999572753906,129.60000610351562,127.16999816894531,127.5999984741211,27736530
2025-09-10,126.88999938964844,131.7100067138672,126.5,129.39999389648438,31778295
2025-09-11,124.93000030517578,130.60000610351562,120.0,127.69999694824219,298010915
2025-09-12,129.7100067138672,130.10000610351562,125.55999755859375,125.5999984741211,46407935
2025-09-15,128.8300018310547,133.36000061035156,128.0800018310547,131.3000030517578,38903655
2025-09-16,127.47000122070312,129.66000366210938,127.16000366210938,129.39999389648438,22723225
2025-09-17,126.0999984741211,128.0500030517578,125.72000122070312,127.9800033569336,20887965
2025-09-18,126.2699966430664,127.05999755859375,125.19999694824219,126.69000244140625,19876310
2025-09-19,141.8800048828125,144.60000610351562,133.07000732421875,135.1999969482422,431620030
2025-09-22,170.25,170.25,147.3000030517578,148.1999969482422,134757185
2025-09-23,162.35000610351562,182.6999969482422,160.25,179.89999389648438,192595137
2025-09-24,144.5,163.6999969482422,142.10000610351562,163.25,135960455
2025-09-25,149.0,153.89999389648438,145.5,145.5,158371401
2025-09-26,146.25,152.89999389648438,144.6999969482422,151.35000610351562,65042463
2025-09-29,146.64999389648438,149.60000610351562,144.1999969482422,148.6999969482422,43205955
2025-09-30,144.64999389648438,148.25,143.89999389648438,148.0,22474749
2025-10-01,152.50999450683594,153.3000030517578,144.80999755859375,144.9499969482422,63059546
2025-10-03,147.3800048828125,153.0,143.14999389648438,152.89999389648438,124141027
2025-10-06,151.99000549316406,152.99000549316406,147.3800048828125,148.0,68647669
2025-10-07,151.47999572753906,155.39999389648438,150.35000610351562,151.99000549316406,55385781
2025-10-08,148.77999877929688,152.5,148.4199981689453,151.6999969482422,45821449
2025-10-09,148.91000366210938,149.97999572753906,147.44000244140625,149.39999389648438,26066621
2025-10-10,149.6999969482422,150.7899932861328,147.83999633789062,149.10000610351562,23705398
2025-10-13,154.42999267578125,155.75,147.52000427246094,148.0,64933221
2025-10-14,154.89999389648438,157.5,152.8000030517578,155.00999450683594,52873531
2025-10-15,157.50999450683594,158.0,150.42999267578125,154.85000610351562,64552739
2025-10-16,157.3699951171875,158.69000244140625,155.5,158.10000610351562,111085386
2025-10-17,165.97999572753906,168.0,156.77000427246094,157.25999450683594,170754425
2025-10-20,170.3000030517578,172.1999969482422,166.6999969482422,168.0500030517578,107477254
2025-10-21,170.77999877929688,174.38999938964844,168.0,171.5,26425161
2025-10-23,165.25999450683594,172.36000061035156,164.25,171.0500030517578,55330926
2025-10-24,167.72000122070312,169.17999267578125,164.0,164.4499969482422,44515519
2025-10-27,162.9600067138672,169.77000427246094,162.0,168.5,51617783
2025-10-28,162.3300018310547,164.22000122070312,161.10000610351562,163.6999969482422,29992980
2025-10-29,162.10000610351562,168.39999389648438,161.75,163.27999877929688,67870076
2025-10-30,162.57000732421875,164.6999969482422,160.1999969482422,163.6999969482422,64990603
2025-10-31,157.85000610351562,161.74000549316406,157.5,161.60000610351562,44708746
2025-11-03,156.72999572753906,158.99000549316406,156.10000610351562,158.99000549316406,22320044
2025-11-04,158.38999938964844,159.5,153.2100067138672,156.0,41404679
2025-11-06,153.1699981689453,158.3800048828125,152.3300018310547,158.36000061035156,24262835
2025-11-07,151.47999572753906,154.7899932861328,150.85000610351562,152.99000549316406,36644118
2025-11-10,150.05999755859375,154.47999572753906,149.5,152.75,19497818
2025-11-11,151.1699981689453,151.89999389648438,146.7100067138672,151.49000549316406,42377702
2025-11-12,151.97999572753906,153.77999877929688,150.66000366210938,152.0,27328382
2025-11-13,151.85000610351562,154.1999969482422,151.5,151.97999572753906,20557325
2025-11-14,153.91000366210938,155.99000549316406,152.1999969482422,152.4600067138672,26821173
2025-11-17,153.27999877929688,155.35000610351562,153.0,155.35000610351562,15162500
2025-11-18,149.5500030517578,153.8800048828125,149.1199951171875,153.14999389648438,22500220
2025-11-19,151.61000061035156,152.66000366210938,150.08999633789062,150.3000030517578,21355345
2025-11-20,151.4600067138672,153.39999389648438,151.0,152.2899932861328,11439592
2025-11-21,149.1199951171875,151.19000244140625,148.89999389648438,151.0,9642165
2025-11-24,145.44000244140625,150.3000030517578,144.8000030517578,150.0,13878210
2025-11-25,146.83999633789062,148.25999450683594,145.1199951171875,145.44000244140625,10803663
2025-11-26,148.6199951171875,148.89999389648438,146.35000610351562,147.1999969482422,10550909
2025-11-27,148.1300048828125,150.63999938964844,147.39999389648438,149.14999389648438,19409495
2025-11-28,147.49000549316406,149.08999633789062,147.1999969482422,148.5500030517578,10052836
2025-12-01,147.33999633789062,148.82000732421875,147.00999450683594,148.2100067138672,7759359
2025-12-02,146.75999450683594,148.17999267578125,146.0500030517578,147.3000030517578,6392786
2025-12-03,144.97000122070312,147.67999267578125,144.5399932861328,146.89999389648438,10331583
2025-12-04,142.72999572753906,146.83999633789062,142.30999755859375,145.0,11150119
2025-12-05,143.77999877929688,144.1999969482422,142.3699951171875,143.0,7231083
2025-12-08,139.0399932861328,145.16000366210938,138.2100067138672,144.25,14985881
